From       To         Volume          Cost      
0          1          0.0             0.0       
1          0          0.0             0.0       
0          20         0.0             0.0       
20         0          0.0             0.0       
1          2          0.0             0.0       
2          1          0.0             0.0       
1          21         0.0             0.0       
21         1          0.0             0.0       
2          3          0.0             0.0       
3          2          0.0             0.0       
2          22         0.0             0.0       
22         2          0.0             0.0       
3          4          0.0             0.0       
4          3          0.0             0.0       
3          23         0.0             0.0       
23         3          0.0             0.0       
4          5          0.0             0.0       
5          4          0.0             0.0       
4          24         0.0             0.0       
24         4          0.0             0.0       
5          6          0.0             0.0       
6          5          0.0             0.0       
5          25         0.0             0.0       
25         5          0.0             0.0       
6          7          0.0             0.0       
7          6          0.0             0.0       
6          26         0.0             0.0       
26         6          0.0             0.0       
7          8          0.0             0.0       
8          7          0.0             0.0       
7          27         0.0             0.0       
27         7          0.0             0.0       
8          9          0.0             0.0       
9          8          0.0             0.0       
8          28         0.0             0.0       
28         8          0.0             0.0       
9          10         0.0             0.0       
10         9          0.0             0.0       
9          29         0.0             0.0       
29         9          0.0             0.0       
10         11         0.0             0.0       
11         10         0.0             0.0       
10         30         0.0             0.0       
30         10         0.0             0.0       
11         12         0.0             0.0       
12         11         0.0             0.0       
11         31         0.0             0.0       
31         11         0.0             0.0       
12         13         0.0             0.0       
13         12         0.0             0.0       
12         32         0.0             0.0       
32         12         0.0             0.0       
13         14         0.0             0.0       
14         13         0.0             0.0       
13         33         0.0             0.0       
33         13         0.0             0.0       
14         15         0.0             0.0       
15         14         0.0             0.0       
14         34         0.0             0.0       
34         14         0.0             0.0       
15         16         0.0             0.0       
16         15         0.0             0.0       
15         35         0.0             0.0       
35         15         0.0             0.0       
16         17         0.0             0.0       
17         16         0.0             0.0       
16         36         0.0             0.0       
36         16         0.0             0.0       
17         18         0.0             0.0       
18         17         0.0             0.0       
17         37         0.0             0.0       
37         17         0.0             0.0       
18         19         0.0             0.0       
19         18         0.0             0.0       
18         38         0.0             0.0       
38         18         0.0             0.0       
19         39         0.0             0.0       
39         19         0.0             0.0       
20         21         0.0             0.0       
21         20         0.0             0.0       
20         40         0.0             0.0       
40         20         0.0             0.0       
21         22         0.0             0.0       
22         21         0.0             0.0       
21         41         0.0             0.0       
41         21         0.0             0.0       
22         23         0.0             0.0       
23         22         0.0             0.0       
22         42         0.0             0.0       
42         22         0.0             0.0       
23         24         0.0             0.0       
24         23         0.0             0.0       
23         43         0.0             0.0       
43         23         0.0             0.0       
24         25         0.0             0.0       
25         24         0.0             0.0       
24         44         0.0             0.0       
44         24         0.0             0.0       
25         26         0.0             0.0       
26         25         0.0             0.0       
25         45         0.0             0.0       
45         25         0.0             0.0       
26         27         0.0             0.0       
27         26         0.0             0.0       
26         46         0.0             0.0       
46         26         0.0             0.0       
27         28         0.0             0.0       
28         27         0.0             0.0       
27         47         0.0             0.0       
47         27         0.0             0.0       
28         29         0.0             0.0       
29         28         0.0             0.0       
28         48         0.0             0.0       
48         28         0.0             0.0       
29         30         0.0             0.0       
30         29         0.0             0.0       
29         49         0.0             0.0       
49         29         0.0             0.0       
30         31         0.0             0.0       
31         30         0.0             0.0       
30         50         0.0             0.0       
50         30         0.0             0.0       
31         32         0.0             0.0       
32         31         0.0             0.0       
31         51         0.0             0.0       
51         31         0.0             0.0       
32         33         0.0             0.0       
33         32         0.0             0.0       
32         52         0.0             0.0       
52         32         0.0             0.0       
33         34         0.0             0.0       
34         33         0.0             0.0       
33         53         0.0             0.0       
53         33         0.0             0.0       
34         35         0.0             0.0       
35         34         0.0             0.0       
34         54         0.0             0.0       
54         34         0.0             0.0       
35         36         0.0             0.0       
36         35         0.0             0.0       
35         55         0.0             0.0       
55         35         0.0             0.0       
36         37         0.0             0.0       
37         36         0.0             0.0       
36         56         0.0             0.0       
56         36         0.0             0.0       
37         38         0.0             0.0       
38         37         0.0             0.0       
37         57         0.0             0.0       
57         37         0.0             0.0       
38         39         0.0             0.0       
39         38         0.0             0.0       
38         58         0.0             0.0       
58         38         0.0             0.0       
39         59         0.0             0.0       
59         39         0.0             0.0       
40         41         0.0             0.0       
41         40         0.0             0.0       
40         60         0.0             0.0       
60         40         0.0             0.0       
41         42         0.0             0.0       
42         41         0.0             0.0       
41         61         0.0             0.0       
61         41         0.0             0.0       
42         43         0.0             0.0       
43         42         0.0             0.0       
42         62         0.0             0.0       
62         42         0.0             0.0       
43         44         0.0             0.0       
44         43         0.0             0.0       
43         63         0.0             0.0       
63         43         0.0             0.0       
44         45         0.0             0.0       
45         44         0.0             0.0       
44         64         0.0             0.0       
64         44         0.0             0.0       
45         46         0.0             0.0       
46         45         0.0             0.0       
45         65         0.0             0.0       
65         45         0.0             0.0       
46         47         0.0             0.0       
47         46         0.0             0.0       
46         66         0.0             0.0       
66         46         0.0             0.0       
47         48         0.0             0.0       
48         47         0.0             0.0       
47         67         0.0             0.0       
67         47         0.0             0.0       
48         49         0.0             0.0       
49         48         0.0             0.0       
48         68         0.0             0.0       
68         48         0.0             0.0       
49         50         0.0             0.0       
50         49         0.0             0.0       
49         69         0.0             0.0       
69         49         0.0             0.0       
50         51         0.0             0.0       
51         50         0.0             0.0       
50         70         0.0             0.0       
70         50         0.0             0.0       
51         52         0.0             0.0       
52         51         0.0             0.0       
51         71         0.0             0.0       
71         51         0.0             0.0       
52         53         0.0             0.0       
53         52         0.0             0.0       
52         72         0.0             0.0       
72         52         0.0             0.0       
53         54         0.0             0.0       
54         53         0.0             0.0       
53         73         0.0             0.0       
73         53         0.0             0.0       
